fecha;canal;sku;descripcion;marca;categoria;cantidad;venta_bruta_clp;costo_total_clp;margen_clp;margen_pct;estado_orden;estado_despacho;fuente;num_pedido;num_suborden
2026-04-01;Falabella;R6028;Kit Instalación Cortina Roller Duo 28mm;Vincenzi;Cortinas y Persianas;1;7990.00;1285;1300.35;0.1475;Regular;Sin Información;wivo;3230502061;3230502061
2026-04-01;Falabella;R6028;Kit Instalación Cortina Roller Duo 28mm;Vincenzi;Cortinas y Persianas;1;7990.00;1285;1300.35;0.1475;Regular;Entregado;wivo;3230502061;3230502061
2026-04-01;Falabella;R6047;Máquina Remadora Bogadora de Agua Valent;K-Fit;Máquinas de ejercicio;1;299990.00;156831;14978.92;0.0553;Regular;Entregado;wivo;3230545536;3230545536
2026-04-01;Falabella;R6047;Máquina Remadora Bogadora de Agua Valent;K-Fit;Máquinas de ejercicio;1;299990.00;156831;14978.92;0.0553;Regular;Sin Información;wivo;3230545536;3230545536
2026-04-01;Falabella;R6052;Cama Elástica + Malla y Escalera 8ft Edición Limitada;GlowUp;Juegos de Exterior;1;129990.00;87983;-18589.06;-0.1609;Regular;Sin Información;wivo;3230588492;3230588492
2026-04-01;Falabella;R6052;Cama Elástica + Malla y Escalera 8ft Edición Limitada;GlowUp;Juegos de Exterior;1;129990.00;87983;-18589.06;-0.1609;Regular;Entregado;wivo;3230588492;3230588492
2026-04-01;Falabella;R6053;Cama Elástica + Malla y Escalera 10ft Edición Limitada;GlowUp;Juegos de Exterior;1;169990.00;107983;-16740.31;-0.1122;Regular;Entregado;wivo;3230445812;3230445812
2026-04-01;Falabella;R6053;Cama Elástica + Malla y Escalera 10ft Edición Limitada;GlowUp;Juegos de Exterior;1;169990.00;107983;-16740.31;-0.1122;Regular;Sin Información;wivo;3230445812;3230445812
2026-04-01;Falabella;R6082;Toldo Brazo Retráctil Terrazas 4x2.5Mts Blanco;Vincenzi;Toldos y Quitasoles;1;199990.00;82297;23588.54;0.1404;Regular;Sin Información;wivo;3230576049;3230576049
2026-04-01;Falabella;R6082;Toldo Brazo Retráctil Terrazas 4x2.5Mts Blanco;Vincenzi;Toldos y Quitasoles;1;199990.00;82297;23588.54;0.1404;Regular;Entregado;wivo;3230576049;3230576049
2026-04-01;Falabella;R6132;Hamaca Miglu Roja;Miglú;Muebles de Camping;1;7990.00;6888;-3967.15;-0.4500;Regular;Entregado;wivo;3230516081;3230516081
2026-04-01;Falabella;R6132;Hamaca Miglu Roja;Miglú;Muebles de Camping;1;7990.00;6888;-3967.15;-0.4500;Regular;Sin Información;wivo;3230516081;3230516081
2026-04-01;Falabella;R6136;Juego de Mesa con Sillas Plegables Azul;Miglú;Muebles de Camping;1;22990.00;7892;3299.43;0.1603;Regular;Sin Información;wivo;3230584186;3230584186
2026-04-01;Falabella;R6136;Juego de Mesa con Sillas Plegables Azul;Miglú;Muebles de Camping;1;22990.00;7892;3299.43;0.1603;Regular;Entregado;wivo;3230584186;3230584186
2026-04-01;Falabella;R6157;Cama Elástica + Malla y Escalera 6ft Edición Limitada;GlowUp;Juegos de Exterior;1;129990.00;76915;-10945.42;-0.1002;Regular;Entregado;wivo;3230553344;3230553344
2026-04-01;Falabella;R6157;Cama Elástica + Malla y Escalera 6ft Edición Limitada;GlowUp;Juegos de Exterior;1;129990.00;76915;-10945.42;-0.1002;Regular;Sin Información;wivo;3230553344;3230553344
2026-04-01;Falabella;R6182;Cama Elástica Glowup 3.05mt 10ft Edición Exclusiva P;GlowUp;Juegos de Exterior;1;139990.00;85323;-11139.13;-0.0899;Regular;Sin Información;wivo;3230512880;3230512880
2026-04-01;Falabella;R6182;Cama Elástica Glowup 3.05mt 10ft Edición Exclusiva P;GlowUp;Juegos de Exterior;1;139990.00;85323;-11139.13;-0.0899;Regular;Entregado;wivo;3230512880;3230512880
2026-04-01;Falabella;R6272;Casa Mascota 87x72x75 Skylight;PetWoow;Casas y Refugios;1;49990.00;30183;-1124.92;-0.0211;Regular;Entregado;wivo;3230576176;3230576176
2026-04-01;Falabella;R6272;Casa Mascota 87x72x75 Skylight;PetWoow;Casas y Refugios;1;49990.00;30183;-1124.92;-0.0211;Regular;Sin Información;wivo;3230576176;3230576176
2026-04-01;Falabella;R6311;Bolso de Padel Elda Rosado;K-Fit;Pádel;1;9990.00;9752;-4968.13;-0.5918;Regular;Sin Información;wivo;3230452361;3230452361
2026-04-01;Falabella;R6311;Bolso de Padel Elda Rosado;K-Fit;Pádel;1;9990.00;9752;-4968.13;-0.5918;Regular;Entregado;wivo;3230452361;3230452361
2026-04-01;Falabella;R6315;Mochila de Padel Hada Negro;K-Fit;Pádel;1;10990.00;13518;-8171.11;-0.8848;Regular;Entregado;wivo;3230447560;3230447560
